年龄段,手机型号,销量
[25~29],oloey,151
[18~24],睿斯,151
[18~24],澳元健,151
[18~24],佳嘉盈,151
[18~24],洛水,151
[18~24],索龙（suolong）,151
[18~24],英才星,150
[30~34],索尼,150
[18~24],咕咕爱,150
[18~24],迈琪数码（maqistar）,150
[18~24],靡兔,149
[25~29],长虹,149
[18~24],步步牛（bubuniu）,149
50岁以上,kojom,149
[18~24],philips/飞利浦,149
50岁以上,三星（samsung）,149
[25~29],恋品惠,148
[18~24],柏奈儿,148
[18~24],水草人,148
[30~34],努比亚,148
[18~24],电狐dianhu,147
[18~24],摩斯维,147
[18~24],往前飞,147
[18~24],安巡,147
[18~24],gk,146
[18~24],吉艺鹿,145
[18~24],鑫乐诚,145
18岁以下,其它,144
[18~24],生肖马,143
[25~29],玄皇xuanhuang,143
[18~24],意喜,143
[18~24],纳登,142
[18~24],芊阙,142
[18~24],斯尔格(hsier),142
[25~29],迈琪数码,142
[18~24],卓昇（zhuosheng）,142
[18~24],优亚勒youyale,142
[18~24],19261,142
[18~24],千道,142
[18~24],10559360,142
18岁以下,tcl,142
[18~24],sindydell,141
[30~34],bsn,141
[25~29],bsn,141
[35~39],itzoom,141
[18~24],耿莱,141
[18~24],卡植欧（kzo）,141
[30~34],戴为,141
[18~24],海罗威（hailuowei）,141
50岁以上,华为,140
[18~24],vakada,140
[18~24],捷魅业,140
[18~24],阿斯卡利（ascari）,140
[18~24],畅印,140
[18~24],华洛芙,140
[18~24],也是,140
[18~24],中兴,139
[25~29],美赞仕（meizanshi）,139
[18~24],柠乐,138
[18~24],黑鲨,138
[18~24],樱之惠,138
[18~24],陌颜,138
[18~24],懿锦,137
[18~24],安思尔,136
18岁以下,魔风者,136
[35~39],kojom,135
[18~24],594939,135
[18~24],旺度,134
[18~24],摩氏mllse,132
[25~29],慕致muzhi,132
[18~24],讯亦xunyi,132
[40~49],孜淑zishu,132
[30~34],索猫,132
[30~34],萧萧布落,131
18岁以下,克雷盾（keleidun）,131
18岁以下,罗璐鸥,131
[30~34],ounegd,131
[30~34],tcl,131
[25~29],司博威spovan,131
[18~24],倾晨,131
[18~24],可乐猪,131
[18~24],星搭档starpartner,131
[18~24],西颜娴,131
18岁以下,isoojo,131
[30~34],真蓓,131
[18~24],花卿士,131
[30~34],mutouniao,130
[18~24],倍晶,130
[40~49],apple,130
[18~24],酷派,130
[25~29],美壳壳,130
[18~24],华视美,129
[18~24],zku珍酷,129
[35~39],飞利浦（philips）,129
[25~29],ttvxo,129
[18~24],brencig,129
[18~24],菲尔克,129
[18~24],韵艺yunyi,129
18岁以下,zuohe佐禾,128
[25~29],binyeae,128
18岁以下,联想（lenovo）,128
[18~24],卓明舒,128
[25~29],生肖猪,128
[18~24],100,128
[18~24],teaegg,128
[18~24],迈普利,128
[18~24],曼尔（maner）,128
[18~24],亿魅（billionchaim）,128
[18~24],仕跟斯,127
[18~24],麦硕（maishuo）,126
[25~29],jdhdl,126
[30~34],中兴（zte）,126
[18~24],美佰（meibai）,125
[18~24],rykkz,125
[18~24],臻壳,125
18岁以下,中兴（zte）,124
[40~49],isoojo,123
[40~49],itzoom,123
[18~24],雷蛇,122
[25~29],mutouniao,121
[25~29],小汨,121
[18~24],kowell,121
[25~29],润芳菲,121
[25~29],丰驭（hccbm）,121
[18~24],浦利金（pulijin）,121
[25~29],贝贝工匠（babecarpenter）,121
[18~24],肯捷（kenjie）,121
[25~29],kingmagic,121
[18~24],七度品尚,121
[18~24],雄冠,121
[18~24],洛夫特lofter,120
[25~29],灵烦lingfan,120
[18~24],猫王收音机,120
[25~29],奇声qisheng,120
[18~24],唐瓷颂,120
[18~24],简帕,120
[25~29],蝶尊,120
[25~29],雪奈儿（xuenair）,120
[18~24],领石,120
[35~39],飞利浦,119
[30~34],no2image,119
[25~29],阿奇猫,119
[18~24],apple（苹果）,119
[25~29],小米,119
[18~24],尚果,118
[25~29],长虹（changhong）,118
[18~24],lieve,118
[40~49],飞利浦（philips）,118
[25~29],岙筱,117
[18~24],产品品牌,117
[18~24],闪科杰,117
[25~29],长虹changhong,117
[18~24],库尤,117
50岁以上,飞利浦（philips）,117
[18~24],汐岩,117
[25~29],agm,117
[18~24],动真格（dongzhenge）,117
[18~24],花相国,117
[30~34],至配（zeipei）,116
[18~24],mper,116
[18~24],paibi,116
[18~24],thinkpad,116
[18~24],toncy,116
[25~29],伊诺茂（ynuom）,115
[18~24],塞霸尔,115
[35~39],郎太轩琦langtaixuanqi,115
[18~24],骁熊,115
[18~24],安佑卓anyouzhuo,115
[18~24],索望,115
[18~24],英源（yingyuan）,115
[18~24],昂悦（angyue）,115
[18~24],marmoter,114
18岁以下,倍克贝克,114
18岁以下,索爱soaiy,114
[35~39],诺基亚（nokia）,113
[18~24],万姆达,113
[18~24],嗣音,112
18岁以下,膜思维,112
18岁以下,荣耀,112
[18~24],鼎岩,111
[18~24],雷星佳,111
[18~24],kola,111
50岁以上,闪猎,110
[18~24],圣鳄,110
[25~29],雀米,110
[18~24],狄致,110
[25~29],ckcy,110
[18~24],瓦普顿,110
[18~24],猫牙,110
[18~24],雷米瑞leimirui,109
[18~24],韵暖香yunnuanxiang,109
[25~29],斯尔格（hsier）,109
[18~24],库凯伦（kukailun）,109
[18~24],泰拉锋,109
[18~24],巢迪,109
[18~24],德骊嘉,109
[25~29],殇雨嫣,109
[18~24],真科（zhenke）,109
[18~24],奥古者,109
[18~24],哮天虎（xiaotianhu）,109
50岁以上,no2image,109
[40~49],飞利浦,108
[18~24],吉米兔（jimmytu）,108
[18~24],勤远,108
[30~34],超科（chaoke）,108
[18~24],筱齐,108
[18~24],沃尔驴,108
[18~24],meks,108
[30~34],雷锤,108
[18~24],曼德斯贝尔,108
[25~29],持恒,108
[18~24],画黛（huadai）,107
[18~24],致仕zisiz,107
[25~29],美图（meitu）,107
18岁以下,超科（chaoke）,106
[35~39],索尼（sony）,106
[25~29],zimon,106
[25~29],雷锤,106
[18~24],绿联,106
[18~24],赛铧睿,106
[35~39],0,106
[25~29],全颂,106
[18~24],isido,105
[40~49],小米（mi）,105
[18~24],超萌,105
[18~24],观悦,105
18岁以下,索爱（soaiy）,105
18岁以下,天语（k-touch）,105
[25~29],摩古,105
[18~24],京登,104
[18~24],hellokitty,104
[30~34],其它,104
[25~29],英西达（kingcyta）,103
[18~24],攸竹,103
18岁以下,伊诺茂（ynuom）,103
[35~39],isoojo,103
50岁以上,itzoom,103
18岁以下,灿仕达（canshida）,102
[18~24],无,102
[18~24],we,102
[35~39],克雷盾（keleidun）,102
[18~24],优百思youbaisi,101
[18~24],城市枫林,101
[35~39],ounegd,100
[40~49],戴霸daiba,100
[18~24],米邦,100
[18~24],大予一（greaterthanone）,100
[25~29],罗璐鸥,100
[18~24],古尚美,100
[25~29],zuohe佐禾,100
[25~29],金艺美（jinyimei）,99
[18~24],瑞思美,99
[25~29],杞记,99
[18~24],牛伙计,99
[30~34],缤唐,99
[18~24],蓝帝枫landifeng,99
[18~24],10677838,99
[30~34],索爱soaiy,99
[40~49],袋宝贝（daibaobei）,99
[25~29],宿巢,99
[18~24],叁缔时代（candyshidy）,99
18岁以下,no2image,99
[18~24],依莲妃yilianfei,99
[40~49],青笺谈墨,98
[18~24],驭驾者（yujiazhe）,98
[18~24],liser,98
[18~24],锋发,98
[25~29],两两,98
[18~24],欧玛奴,98
[30~34],1,98
[18~24],法丽隆（falilong）,98
[18~24],cance1,98
[18~24],奔创,98
[18~24],雷菱客,98
[18~24],电源适配器,98
[25~29],牧鱼（herdfish）,98
[18~24],夏腾（xiateng）,98
[25~29],田蟹,98
[25~29],潮范,98
[18~24],馨程,98
[18~24],长虹chonghong,98
[18~24],摩洛纳moluona,97
[18~24],辅安,97
[18~24],bigpig,97
[18~24],缔造千金,97
[18~24],chuangyitengxiang,97
[18~24],baking,97
[18~24],金范,97
[18~24],欧妃尚（ofesion）,97
[18~24],寒江雪,97
[18~24],酷乐锋,96
[25~29],华为huawei,96
[18~24],绿净奇源,96
[18~24],tsful,96
[18~24],逸致,96
